algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
pac_successive_elimination,0,0,10,100,109,5,hard_capacity_control,1.1076059397244058,-1.615582605952471,133.106582679643,128.57663358915298,0,,0.0008358696404080706,137.73843866308047
epsilon_greedy,0,0,11,110,119,5,hard_capacity_control,-99.04091027271251,-1.0567441991993751,115.21757657840318,111.27594730911825,1,0,0.0004695841620782316,119.24475746725604
ucb1,0,0,11,110,119,5,hard_capacity_control,-99.04091027271251,-1.0567441991993751,115.21757657840318,111.27594730911825,1,0,0.0004695841620782316,119.24475746725604
softmax,0,0,11,110,119,5,hard_capacity_control,-99.04091027271251,-1.0567441991993751,115.21757657840318,111.27594730911825,1,0,0.0004695841620782316,119.24475746725604
pac_successive_elimination,0,0,11,110,119,7,weak_capacity_control,1.1970105939050113,-0.6109207654750932,143.71458176045834,138.79901078907986,0,,0.0003501490421316374,148.73530135201835
epsilon_greedy,0,1,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
ucb1,0,1,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
softmax,0,1,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
pac_successive_elimination,0,1,0,0,9,10,moderate_marine_reserve,10.141336477120525,2989.221945950384,858.253743740417,717.9373143653968,0,,1.8586333167843792,717.9373143653968
epsilon_greedy,0,1,1,10,19,7,weak_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
ucb1,0,1,1,10,19,7,weak_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
softmax,0,1,1,10,19,7,weak_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
pac_successive_elimination,0,1,1,10,19,11,strong_marine_reserve,6.483554683924766,1955.6407571935695,543.3496712077435,424.21809979929606,0,,1.587311859591302,424.21809979929606
epsilon_greedy,0,1,2,20,29,7,weak_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
ucb1,0,1,2,20,29,7,weak_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
softmax,0,1,2,20,29,7,weak_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
pac_successive_elimination,0,1,2,20,29,1,baseline_laissez_faire,3.47299757189261,1094.9615407985327,285.3643237312893,204.13018393378988,0,,1.0865855213269806,204.13018393378988
epsilon_greedy,0,1,3,30,39,11,strong_marine_reserve,-100.70539792766372,-1408.5079395189,84.37320142261937,80.5121429480269,1,0,0.42705910285711063,80.5121429480269
