algorithm,seed,episode,window_index,window_start_step,window_end_step,context_bias,context_fish_norm,context_ships_norm,context_time_norm,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
contextual_thompson,0,0,9,90,99,1.0,0.0790624842954556,0.0006388078840479273,0.75,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
discretized_contextual,0,0,9,90,99,1.0,0.07922955265896317,0.0006388078840479273,0.75,5,hard_capacity_control,-99.18101489470223,-6.777814869445895,99.09155042006678,95.7829179327021,1,0,0.0026759910623900696,102.48853779719289
linucb,0,0,10,100,109,1.0,0.08522709966162376,0.00026759910623900694,0.8333333333333334,5,hard_capacity_control,-99.11372185668733,-2.6923376446397276,106.67645771487601,103.05217870928469,1,0,0.0011209830599796225,110.38465418999613
contextual_thompson,0,0,10,100,109,1.0,0.08522709966162376,0.00026759910623900694,0.8333333333333334,5,hard_capacity_control,-99.11372185668733,-2.6923376446397276,106.67645771487601,103.05217870928469,1,0,0.0011209830599796225,110.38465418999613
discretized_contextual,0,0,10,100,109,1.0,0.08540711483099407,0.00026759910623900694,0.8333333333333334,1,baseline_laissez_faire,-99.11184024450964,-2.687856553621102,106.90171344527943,103.26983220907599,1,0,0.0011209830599796225,110.61768803938784
linucb,0,0,11,110,119,1.0,0.09198721182499678,0.00011209830599796225,0.9166666666666666,11,strong_marine_reserve,-99.04153804253184,-1.421031760977072,115.18595870749654,111.23686532457164,1,0,0.0004695841620782316,119.21912744772227
contextual_thompson,0,0,11,110,119,1.0,0.09198721182499678,0.00011209830599796225,0.9166666666666666,11,strong_marine_reserve,-99.04153804253184,-1.421031760977072,115.18595870749654,111.23686532457164,1,0,0.0004695841620782316,119.21912744772227
discretized_contextual,0,0,11,110,119,1.0,0.09218140669948988,0.00011209830599796225,0.9166666666666666,7,weak_capacity_control,-99.03924184768968,-1.0550775752890775,115.41758758627296,111.46915992233538,1,0,0.0004695841620782316,119.45171324341524
linucb,0,1,0,0,9,1.0,0.8333333333333334,0.1,0.0,5,hard_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
contextual_thompson,0,1,0,0,9,1.0,0.8333333333333334,0.1,0.0,5,hard_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
discretized_contextual,0,1,0,0,9,1.0,0.8333333333333334,0.1,0.0,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
linucb,0,1,1,10,19,1.0,0.570884826967869,0.20946658360156425,0.08333333333333333,5,hard_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
contextual_thompson,0,1,1,10,19,1.0,0.570884826967869,0.20946658360156425,0.08333333333333333,5,hard_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
discretized_contextual,0,1,1,10,19,1.0,0.570884826967869,0.20946658360156425,0.08333333333333333,5,hard_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
linucb,0,1,2,20,29,1.0,0.1758307830061621,0.2433656061354898,0.16666666666666666,5,hard_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
contextual_thompson,0,1,2,20,29,1.0,0.1758307830061621,0.2433656061354898,0.16666666666666666,5,hard_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
discretized_contextual,0,1,2,20,29,1.0,0.1758307830061621,0.2433656061354898,0.16666666666666666,5,hard_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
linucb,0,1,3,30,39,1.0,0.07692127608583459,0.10194679858754725,0.25,7,weak_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
contextual_thompson,0,1,3,30,39,1.0,0.07692127608583459,0.10194679858754725,0.25,7,weak_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
discretized_contextual,0,1,3,30,39,1.0,0.07692127608583459,0.10194679858754725,0.25,5,hard_capacity_control,-100.55626119379933,-1199.919120068375,77.23895115228476,69.61524112997978,1,0,0.42705910285711063,69.61524112997978
linucb,0,1,4,40,49,1.0,0.058012700941649814,0.042705910285711066,0.3333333333333333,5,hard_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
contextual_thompson,0,1,4,40,49,1.0,0.058012700941649814,0.042705910285711066,0.3333333333333333,5,hard_capacity_control,-99.99275753515425,-544.7100541464667,66.23430227906685,64.81157573410937,1,0,0.17889671854334988,64.81157573410937
