algorithm,seed,episode,cumulative_reward,cumulative_profit,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,decision_windows
linucb,0,0,-886.1777307447394,3796.1686951252254,76.71299716802845,1,29,0.0004695841620782316,119.21912744772227,12
contextual_thompson,0,0,-886.1777307447394,3796.1686951252254,76.71299716802845,1,29,0.0004695841620782316,119.21912744772227,12
discretized_contextual,0,0,-886.1746425701763,3792.6956321663315,76.71299716802845,1,29,0.0004695841620782316,119.45171324341524,12
linucb,0,1,-929.1905116767025,3348.838592658285,64.81157573410937,1,25,0.0004049515934620661,102.7764553250707,12
contextual_thompson,0,1,-929.1916545664524,3349.8132930722545,64.81157573410937,1,25,0.0004049515934620661,102.70861189822705,12
discretized_contextual,0,1,-929.2639949312722,3374.3795054836473,64.70802322165552,1,25,0.0004049515934620661,100.5974394551586,12
