algorithm,seed,episode,cumulative_reward,cumulative_profit,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,decision_windows
epsilon_greedy,0,0,-847.4666493737597,3795.062909432543,76.71299716802845,1,29,3.14631931829504e-08,470.95225627879364,30
ucb1,0,0,-847.4668089600807,3795.078862888995,76.71299716802845,1,29,3.1460597645973e-08,470.94993257354133,30
softmax,0,0,-847.4668089600807,3795.078862888995,76.71299716802845,1,29,3.1460597645973e-08,470.94993257354133,30
pac_successive_elimination,0,0,-536.7147264708465,4717.684840264517,92.88818246655615,1,30,2.128840560366924e-08,579.951181716252,30
epsilon_greedy,0,1,-1116.4588991702997,3371.7132526321693,64.70802322165552,1,25,2.2546945144617723e-09,400.29659563137585,30
ucb1,0,1,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,1,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,1,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,2,-1044.4685390667735,3312.357600715499,68.51515841036272,1,25,4.760516791370391e-09,421.5130106673004,30
ucb1,0,2,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,2,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,2,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,3,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
ucb1,0,3,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,3,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,3,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,4,-1106.1310419659378,3361.378014716806,64.81157573410937,1,25,2.55322979512197e-09,403.8275381500663,30
ucb1,0,4,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
softmax,0,4,-1126.684981223025,3380.204429702363,64.70802322165552,1,25,2.064925021614682e-09,397.78267011357514,30
pac_successive_elimination,0,4,130.65138523468588,7221.063201840793,195.42318102032664,0,,0.0003093335518708259,955.887903564105,30
epsilon_greedy,0,5,-766.5477176066164,3155.5755965368453,82.18500200317486,1,29,7.770069794694577e-08,500.7811879428784,30
