algorithm,seed,episode,window_index,window_start_step,window_end_step,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
pac_successive_elimination,0,0,10,100,109,10,moderate_marine_reserve,-99.11856468531461,-3.1986843799116653,106.15607988783543,102.53773554959704,1,0,0.0011209830599796225,109.85597870542387
epsilon_greedy,0,0,11,110,119,5,hard_capacity_control,-99.04091027271251,-1.0567441991993751,115.21757657840318,111.27594730911825,1,0,0.0004695841620782316,119.24475746725604
ucb1,0,0,11,110,119,5,hard_capacity_control,-99.04091027271251,-1.0567441991993751,115.21757657840318,111.27594730911825,1,0,0.0004695841620782316,119.24475746725604
softmax,0,0,11,110,119,5,hard_capacity_control,-99.04091027271251,-1.0567441991993751,115.21757657840318,111.27594730911825,1,0,0.0004695841620782316,119.24475746725604
pac_successive_elimination,0,0,11,110,119,11,strong_marine_reserve,-99.04613666328214,-1.423584841942825,114.6344305871744,110.70413246523397,1,0,0.0004695841620782316,118.64840870317249
epsilon_greedy,0,1,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
ucb1,0,1,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
softmax,0,1,0,0,9,7,weak_capacity_control,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
pac_successive_elimination,0,1,0,0,9,1,baseline_laissez_faire,10.490521369403732,3448.0349987194627,845.0983644821124,685.0617923614428,0,,2.0946658360156425,685.0617923614428
epsilon_greedy,0,1,1,10,19,7,weak_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
ucb1,0,1,1,10,19,7,weak_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
softmax,0,1,1,10,19,7,weak_capacity_control,7.172915297017182,3721.5387171817497,414.165189580252,210.99693960739452,0,,2.433656061354898,210.99693960739452
pac_successive_elimination,0,1,1,10,19,3,moderate_taxation,7.306302087564786,3684.756760534129,434.58543924367876,251.25320581226075,0,,2.090642867383461,251.25320581226075
epsilon_greedy,0,1,2,20,29,7,weak_capacity_control,-50.58587411208708,-1652.3190888752126,127.9733972145757,92.3055313030015,1,5,1.0194679858754725,92.3055313030015
