algorithm,seed,episode,window_index,window_start_step,window_end_step,context_fish_norm,context_ships_norm,arm_id,arm_name,window_cumulative_reward,window_cumulative_profit,window_mean_fish_stock,window_min_fish_stock,window_collapse_flag,window_time_to_collapse,end_ships,end_fish_population
linucb,0,0,0,0,9,0.8333333333333334,0.1,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
contextual_thompson,0,0,0,0,9,0.8333333333333334,0.1,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
discretized_contextual,0,0,0,0,9,0.8333333333333334,0.1,11,strong_marine_reserve,9.792141478367618,2535.374790314274,870.8120025664012,750.1462119556977,0,,1.6231724943666623,750.1462119556977
linucb,0,0,1,10,19,0.6251218432964147,0.16231724943666623,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
contextual_thompson,0,0,1,10,19,0.6251218432964147,0.16231724943666623,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
discretized_contextual,0,0,1,10,19,0.6251218432964147,0.16231724943666623,5,hard_capacity_control,8.477824768140737,4112.878671603311,523.793531584491,316.05665030206364,0,,2.579618925738808,316.05665030206364
linucb,0,0,2,20,29,0.2633805419183864,0.2579618925738808,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
contextual_thompson,0,0,2,20,29,0.2633805419183864,0.2579618925738808,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
discretized_contextual,0,0,2,20,29,0.2633805419183864,0.2579618925738808,7,weak_capacity_control,-9.110390279053906,-590.1033349913797,177.5655667124967,118.89015826889568,1,9,1.1821808523338009,118.89015826889568
linucb,0,0,3,30,39,0.09907513189074639,0.1182180852333801,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
contextual_thompson,0,0,3,30,39,0.09907513189074639,0.1182180852333801,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
discretized_contextual,0,0,3,30,39,0.09907513189074639,0.1182180852333801,1,baseline_laissez_faire,-100.41797436397944,-1217.0430546238945,95.88824287733519,84.40490608300503,1,0,0.495220155225351,84.40490608300503
linucb,0,0,4,40,49,0.07033742173583753,0.0495220155225351,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
contextual_thompson,0,0,4,40,49,0.07033742173583753,0.0495220155225351,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
discretized_contextual,0,0,4,40,49,0.07033742173583753,0.0495220155225351,4,high_taxation,-99.92601118600132,-585.3879778316903,79.12521501964461,76.71386602353644,1,0,0.20744964838271113,76.71386602353644
linucb,0,0,5,50,59,0.06392822168628037,0.020744964838271113,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
contextual_thompson,0,0,5,50,59,0.06392822168628037,0.020744964838271113,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
discretized_contextual,0,0,5,50,59,0.06392822168628037,0.020744964838271113,10,moderate_marine_reserve,-99.63287857609372,-277.97969273597977,77.41213399707186,76.71299716802845,1,0,0.08690146424780947,78.52975220988013
linucb,0,0,6,60,69,0.0654414601749001,0.008690146424780946,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
contextual_thompson,0,0,6,60,69,0.0654414601749001,0.008690146424780946,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
discretized_contextual,0,0,6,60,69,0.0654414601749001,0.008690146424780946,3,moderate_taxation,-99.43286358698333,-103.14178798058359,80.4333841196731,78.79849720358848,1,0,0.03640336123627133,82.32958438475279
linucb,0,0,7,70,79,0.06860798698729399,0.003640336123627133,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
contextual_thompson,0,0,7,70,79,0.06860798698729399,0.003640336123627133,11,strong_marine_reserve,-99.33790050696508,-50.590049516746475,85.52274510619804,82.87901870140308,1,0,0.015249509553941346,88.28030266419307
discretized_contextual,0,0,7,70,79,0.06860798698729399,0.003640336123627133,7,weak_capacity_control,-99.33161542103721,-42.057950342708786,85.2531035166604,82.81907722938729,1,0,0.015249509553941346,87.83628993266336
linucb,0,0,8,80,89,0.07356691888682756,0.0015249509553941346,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
contextual_thompson,0,0,8,80,89,0.07356691888682756,0.0015249509553941346,5,hard_capacity_control,-99.25165350099708,-16.938340869839507,91.8341807847332,88.89833020409596,1,0,0.006388078840479273,94.87498115454673
discretized_contextual,0,0,8,80,89,0.07319690827721947,0.0015249509553941346,11,strong_marine_reserve,-99.25837582260783,-20.8203158207476,91.49333918555043,88.478014511434,1,0,0.006388078840479273,94.59745324631085
linucb,0,0,9,90,99,0.0790624842954556,0.0006388078840479273,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
contextual_thompson,0,0,9,90,99,0.0790624842954556,0.0006388078840479273,7,weak_capacity_control,-99.18276509195469,-6.7871588366287305,98.88264802583322,95.58095203871821,1,0,0.0026759910623900696,102.2725195939485
discretized_contextual,0,0,9,90,99,0.07883121103859238,0.0006388078840479273,5,hard_capacity_control,-99.18518783519164,-6.800021647543921,98.59346237470804,95.30136996625949,1,0,0.0026759910623900696,101.97348064984516
linucb,0,0,10,100,109,0.08522709966162376,0.00026759910623900694,1,baseline_laissez_faire,-99.11372185668733,-2.6923376446397276,106.67645771487601,103.05217870928469,1,0,0.0011209830599796225,110.38465418999613
contextual_thompson,0,0,10,100,109,0.08522709966162376,0.00026759910623900694,1,baseline_laissez_faire,-99.11372185668733,-2.6923376446397276,106.67645771487601,103.05217870928469,1,0,0.0011209830599796225,110.38465418999613
discretized_contextual,0,0,10,100,109,0.08497790054153763,0.00026759910623900694,5,hard_capacity_control,-99.1163266186567,-2.6985409267085125,106.3646306724,102.75087592255836,1,0,0.0011209830599796225,110.06205938633737
linucb,0,0,11,110,119,0.09198721182499678,0.00011209830599796225,4,high_taxation,-99.04126952501844,-1.057103063621073,115.17450936542353,111.23434397393734,1,0,0.0004695841620782316,119.2001948575045
contextual_thompson,0,0,11,110,119,0.09198721182499678,0.00011209830599796225,4,high_taxation,-99.04126952501844,-1.057103063621073,115.17450936542353,111.23434397393734,1,0,0.0004695841620782316,119.2001948575045
discretized_contextual,0,0,11,110,119,0.0917183828219478,0.00011209830599796225,5,hard_capacity_control,-99.04407649502245,-1.059907002198206,114.83800943756941,110.90928208970391,1,0,0.0004695841620782316,118.85201060227773
linucb,0,1,0,0,9,0.8333333333333334,0.1,10,moderate_marine_reserve,10.141336477120525,2989.221945950384,858.253743740417,717.9373143653968,0,,1.8586333167843792,717.9373143653968
contextual_thompson,0,1,0,0,9,0.8333333333333334,0.1,10,moderate_marine_reserve,10.141336477120525,2989.221945950384,858.253743740417,717.9373143653968,0,,1.8586333167843792,717.9373143653968
