algorithm,seed,episode,cumulative_reward,cumulative_profit,min_fish_stock,collapse_flag,time_to_collapse,final_ships,final_fish_population,decision_windows
linucb,0,0,-886.1777307447394,3796.1686951252254,76.71299716802845,1,29,0.0004695841620782316,119.21912744772227,12
contextual_thompson,0,0,-886.1777307447394,3796.1686951252254,76.71299716802845,1,29,0.0004695841620782316,119.21912744772227,12
discretized_contextual,0,0,-886.1746425701763,3792.6956321663315,76.71299716802845,1,29,0.0004695841620782316,119.45171324341524,12
linucb,0,1,-929.1905116767025,3348.838592658285,64.81157573410937,1,25,0.0004049515934620661,102.7764553250707,12
contextual_thompson,0,1,-929.1916545664524,3349.8132930722545,64.81157573410937,1,25,0.0004049515934620661,102.70861189822705,12
discretized_contextual,0,1,-929.2639949312722,3374.3795054836473,64.70802322165552,1,25,0.0004049515934620661,100.5974394551586,12
linucb,0,2,-929.2442216167819,3365.5131401269878,64.70802322165552,1,25,0.0004049515934620661,101.30102108171343,12
contextual_thompson,0,2,-929.2404265608459,3363.3885683756903,64.70802322165552,1,25,0.0004049515934620661,101.46091936811898,12
discretized_contextual,0,2,42.28424115035005,5061.540739415054,240.57253826705033,0,,0.0031364634622466333,380.49428276889057,12
linucb,0,3,-929.0347994837908,3311.2157767029667,68.51515841036272,1,25,0.0004049515934620661,106.4233260021004,12
contextual_thompson,0,3,-929.035982885401,3312.225102866215,68.51515841036272,1,25,0.0004049515934620661,106.35307996647079,12
discretized_contextual,0,3,-928.9135834452192,3258.9575639454874,68.51515841036272,1,25,0.0004049515934620661,110.61230135185122,12
linucb,0,4,-929.0347994837908,3311.2157767029667,68.51515841036272,1,25,0.0004049515934620661,106.4233260021004,12
contextual_thompson,0,4,-929.0186426047136,3304.0408302642445,68.51515841036272,1,25,0.0004049515934620661,106.99401058785513,12
discretized_contextual,0,4,-214.01800394930535,3015.879372565614,113.44469006881951,1,38,0.0004274745578582105,181.8652694519086,12
linucb,0,5,-929.2404265608459,3363.3885683756903,64.70802322165552,1,25,0.0004049515934620661,101.46091936811898,12
contextual_thompson,0,5,-929.1917583942472,3349.4486264124143,64.81157573410937,1,25,0.0004049515934620661,102.72910332442868,12
discretized_contextual,0,5,31.867098796127312,5244.9097713274805,139.86911992496496,0,,0.00043274932420020625,223.73608147381947,12
linucb,0,6,-929.191923199616,3350.2542643190554,64.81157573410937,1,25,0.0004049515934620661,102.68020613933598,12
contextual_thompson,0,6,-929.2442216167819,3365.5131401269878,64.70802322165552,1,25,0.0004049515934620661,101.30102108171343,12
discretized_contextual,0,6,41.12076090833199,4599.295563182769,245.2435394165595,0,,0.003920038323340897,398.4058491739052,12
linucb,0,7,-929.2220686512719,3362.0482501990978,64.81157573410937,1,25,0.0004049515934620661,101.70891400400329,12
contextual_thompson,0,7,-929.2669176750401,3377.044588088949,64.70802322165552,1,25,0.0004049515934620661,100.41378253777096,12
discretized_contextual,0,7,29.749844786913314,5104.287859447097,134.34792168798919,0,,0.0003177988572994212,219.1679387129405,12
linucb,0,8,-929.036153569278,3313.059167522438,68.51515841036272,1,25,0.0004049515934620661,106.30246002103608,12
contextual_thompson,0,8,-929.0186426047136,3304.0408302642445,68.51515841036272,1,25,0.0004049515934620661,106.99401058785513,12
discretized_contextual,0,8,-928.9134715255359,3259.350446704445,68.51515841036272,1,25,0.0004049515934620661,110.59022686623425,12
linucb,0,9,-929.2220686512719,3362.0482501990978,64.81157573410937,1,25,0.0004049515934620661,101.70891400400329,12
contextual_thompson,0,9,-929.270673598106,3379.1471974095043,64.70802322165552,1,25,0.0004049515934620661,100.25553129535281,12
